Date,Building,Water Consumption,Electricity Consumption,Gas Consumption
01-Jul-16,B1001,255058,22048,4602
01-Jul-16,B1002,266818,42219,4056
01-Jul-16,B1003,438939,46136,4540
01-Jul-16,B1004,465708,42630,2391
01-Jul-16,B1005,284561,41079,5058
01-Jul-16,B1006,404080,25445,3228
01-Jul-16,B1007,202790,49762,3911
01-Jul-16,B1008,293231,31431,2674
01-Jul-16,B1009,205516,37058,5334
01-Jul-16,B1010,333281,50319,4902
01-Aug-16,B1000,252698,45063,2995
01-Aug-16,B1001,223918,33654,4406
01-Aug-16,B1002,395586,35793,2424
01-Aug-16,B1003,346811,43615,4942
01-Aug-16,B1004,379880,39069,4594
01-Aug-16,B1005,329126,35694,3271
01-Aug-16,B1006,431541,37407,4923
01-Aug-16,B1007,283321,50542,2957
01-Aug-16,B1008,221813,49394,2610
01-Aug-16,B1009,447622,43570,3167
01-Aug-16,B1010,216859,26048,2623
01-Sep-16,B1000,244019,25874,5086
01-Sep-16,B1001,207081,34311,4312
01-Sep-16,B1002,370185,24478,4326
01-Sep-16,B1003,397906,30891,3604
01-Sep-16,B1004,309002,34569,4672
01-Sep-16,B1005,404468,44257,2509
01-Sep-16,B1006,421190,49361,2945
01-Sep-16,B1007,307448,23543,3925
01-Sep-16,B1008,308518,35338,4350
01-Sep-16,B1009,259650,40670,3025
01-Sep-16,B1010,394673,30268,4574
01-Oct-16,B1000,334502,49641,3278
01-Oct-16,B1001,234978,47808,5414
01-Oct-16,B1002,331388,43291,4083
01-Oct-16,B1003,340609,50631,3234
01-Oct-16,B1004,432769,42244,5224
01-Oct-16,B1005,361418,28023,4131
01-Oct-16,B1006,500791,47578,2726
01-Oct-16,B1007,444777,34513,5362
01-Oct-16,B1008,337703,41417,4203
01-Oct-16,B1009,303875,36139,3009
01-Oct-16,B1010,340881,39723,2780
01-Nov-16,B1000,256575,49911,4493
01-Nov-16,B1001,285423,34744,4338
01-Nov-16,B1002,223897,40455,3564
01-Nov-16,B1003,220625,34226,3418
01-Nov-16,B1004,373711,24183,4532
01-Nov-16,B1005,494823,26004,4515
01-Nov-16,B1006,207534,43201,3281
01-Nov-16,B1007,331406,29970,4342
01-Nov-16,B1008,257234,45635,2604
01-Nov-16,B1009,246880,34473,3858
01-Nov-16,B1010,471008,46082,3432
01-Dec-16,B1000,422766,40969,3345
01-Dec-16,B1001,378691,31953,5124
01-Dec-16,B1002,502349,52346,4266
01-Dec-16,B1003,229664,49339,4911
01-Dec-16,B1004,402811,33358,4541
01-Dec-16,B1005,293486,50913,3943
01-Dec-16,B1006,273201,49197,4908
01-Dec-16,B1007,304827,31378,2983
01-Dec-16,B1008,461694,40159,3061
01-Dec-16,B1009,268351,44929,4895
01-Dec-16,B1010,259351,39290,4969
01-Jan-17,B1000,482551,46523,4980
01-Jan-17,B1001,300012,38831,4378
01-Jan-17,B1002,434737,37719,3255
01-Jan-17,B1003,406975,29725,4631
01-Jan-17,B1004,374090,27874,3721
01-Jan-17,B1005,404167,43667,3853
01-Jan-17,B1006,372226,24166,3519
01-Jan-17,B1007,208584,29920,3892
01-Jan-17,B1008,484163,37310,5707
01-Jan-17,B1009,422676,50553,3520
01-Jan-17,B1010,493306,51554,3709
01-Feb-17,B1000,489625,32213,5417
01-Feb-17,B1001,278812,29139,4833
01-Feb-17,B1002,316167,44160,4315
01-Feb-17,B1003,242849,48384,4062
01-Feb-17,B1004,348056,43858,5300
01-Feb-17,B1005,453588,36411,4340
01-Feb-17,B1006,420459,48369,3067
01-Feb-17,B1007,304603,37460,5195
01-Feb-17,B1008,373059,39327,5592
01-Feb-17,B1009,267281,48751,5486
01-Feb-17,B1010,335188,41299,5222
01-Mar-17,B1000,452145,42808,3214
01-Mar-17,B1001,291541,33016,4121
01-Mar-17,B1002,302640,25906,4903
01-Mar-17,B1003,278921,50251,5203
01-Mar-17,B1004,299227,29326,3741
01-Mar-17,B1005,258578,44384,4314
01-Mar-17,B1006,338161,48107,3558
01-Mar-17,B1007,251457,44420,3923
01-Mar-17,B1008,501733,29602,3271
01-Mar-17,B1009,247573,47470,3368
01-Mar-17,B1010,280484,51962,3163
01-Apr-17,B1000,445895,26134,4828
01-Apr-17,B1001,443616,37039,3241
01-Apr-17,B1002,372563,39344,4306
01-Apr-17,B1003,483156,41699,4891
01-Apr-17,B1004,480885,31622,3592
01-Apr-17,B1005,492266,28065,5576
01-Apr-17,B1006,305817,25474,3622
01-Apr-17,B1007,238050,52836,3437
01-Apr-17,B1008,479701,42615,4675
01-Apr-17,B1009,436555,47985,3003
01-Apr-17,B1010,327550,45645,4202
01-May-17,B1000,400459,42927,4602
01-May-17,B1001,417942,38484,5121
01-May-17,B1002,433014,41338,5807
01-May-17,B1003,428365,24455,3593
01-May-17,B1004,239647,46809,5356
01-May-17,B1005,386528,37586,3003
01-May-17,B1006,232887,38616,5061
01-May-17,B1007,279506,44179,5627
01-May-17,B1008,447839,35980,4838
01-May-17,B1009,475120,41177,4054
01-May-17,B1010,232731,29558,3731
01-Jun-17,B1000,256415,26536,5405
01-Jun-17,B1001,306248,48186,4858
01-Jun-17,B1002,288169,43250,5487
01-Jun-17,B1003,373418,43392,4364
01-Jun-17,B1004,248569,39142,5611
01-Jun-17,B1005,377542,39261,5087
01-Jun-17,B1006,293433,36082,5732
01-Jun-17,B1007,235658,47847,4691
01-Jun-17,B1008,405014,53347,5868
01-Jun-17,B1009,263134,27128,3534
01-Jun-17,B1010,448821,37972,5498
01-Jul-17,B1000,378241,25116,4404
01-Jul-17,B1001,327286,26522,4859
01-Jul-17,B1002,416264,25068,5473
01-Jul-17,B1003,223103,35724,6009
01-Jul-17,B1004,244114,40158,4781
01-Jul-17,B1005,314616,24991,5322
01-Jul-17,B1006,498064,39088,4529
01-Jul-17,B1007,459377,28915,4855
01-Jul-17,B1008,405549,46296,3997
01-Jul-17,B1009,404183,33902,3600
01-Jul-17,B1010,386113,48935,3282
01-Aug-17,B1000,397450,31581,3636
01-Aug-17,B1001,304031,39229,3103
01-Aug-17,B1002,434191,40757,4832
01-Aug-17,B1003,215402,28075,4456
01-Aug-17,B1004,305006,49354,4612
01-Aug-17,B1005,485495,36467,3186
01-Aug-17,B1006,399785,29888,3447
01-Aug-17,B1007,263031,53798,4504
01-Aug-17,B1008,399613,47786,5419
01-Aug-17,B1009,222840,52952,3647
01-Aug-17,B1010,421375,34192,3944
01-Sep-17,B1000,382610,45488,5258
01-Sep-17,B1001,327447,53676,5504
01-Sep-17,B1002,231127,29900,4384
01-Sep-17,B1003,416047,53016,4334
01-Sep-17,B1004,428191,47199,6054
01-Sep-17,B1005,242689,42843,3138
01-Sep-17,B1006,361825,50274,3488
01-Sep-17,B1007,503577,50791,5944
01-Sep-17,B1008,256625,53255,5351
01-Sep-17,B1009,421940,53855,4575
01-Sep-17,B1010,400656,28360,4460
01-Oct-17,B1000,265102,30711,5460
01-Oct-17,B1001,493238,50511,4098
01-Oct-17,B1002,500052,27283,5135
01-Oct-17,B1003,497034,49526,5633
01-Oct-17,B1004,448594,32220,3202
01-Oct-17,B1005,439347,40119,5624
01-Oct-17,B1006,444025,32346,6053
01-Oct-17,B1007,226282,54628,4216
01-Oct-17,B1008,252302,53463,3767
01-Oct-17,B1009,230359,30591,5541
01-Oct-17,B1010,223858,39172,4542
01-Nov-17,B1000,451139,32487,4232
01-Nov-17,B1001,463735,50832,4849
01-Nov-17,B1002,287182,52451,4452
01-Nov-17,B1003,477842,37016,3830
01-Nov-17,B1004,479899,44109,6124
01-Nov-17,B1005,297837,51408,6123
01-Nov-17,B1006,206565,31765,5479
01-Nov-17,B1007,315269,35281,3585
01-Nov-17,B1008,422862,53349,5399
01-Nov-17,B1009,402553,35793,3296
01-Nov-17,B1010,488702,34123,5055
01-Dec-17,B1000,408382,48235,4382
01-Dec-17,B1001,467255,29308,4630
01-Dec-17,B1002,212446,34246,5066
01-Dec-17,B1003,470151,45344,3858
01-Dec-17,B1004,491868,41297,4335
01-Dec-17,B1005,364166,36509,4282
01-Dec-17,B1006,362301,43152,3663
01-Dec-17,B1007,494593,26755,5415
01-Dec-17,B1008,342740,27683,4881
01-Dec-17,B1009,216605,50862,4171
01-Dec-17,B1010,251507,37589,3666
01-Jan-18,B1000,464783,55215,4309
01-Jan-18,B1001,456404,53903,4130
01-Jan-18,B1002,207228,32793,4910
01-Jan-18,B1003,207659,34506,3381
01-Jan-18,B1004,286626,54471,5335
01-Jan-18,B1005,282898,28800,5016
01-Jan-18,B1006,409029,25906,3496
01-Jan-18,B1007,324668,32620,4997
01-Jan-18,B1008,489189,44220,5442
01-Jan-18,B1009,390659,26116,6262
01-Jan-18,B1010,351476,43525,5149
01-Feb-18,B1000,470804,28002,5705
01-Feb-18,B1001,444563,38619,5406
01-Feb-18,B1002,295720,26153,3550
01-Feb-18,B1003,359388,54179,4668
01-Feb-18,B1004,448275,43190,6334
01-Feb-18,B1005,489440,45556,5656
01-Feb-18,B1006,444066,46082,4524
01-Feb-18,B1007,290750,47509,3947
01-Feb-18,B1008,474855,37918,4553
01-Feb-18,B1009,466199,44258,4803
01-Feb-18,B1010,306692,38885,5249
01-Mar-18,B1000,493939,37293,5989
01-Mar-18,B1001,260066,53365,5347
01-Mar-18,B1002,348507,45601,5400
01-Mar-18,B1003,468032,28289,4207
01-Mar-18,B1004,447729,50335,6135
01-Mar-18,B1005,369648,26230,4631
01-Mar-18,B1006,430897,27402,5062
01-Mar-18,B1007,262459,28042,5203
01-Mar-18,B1008,258158,34519,5548
01-Mar-18,B1009,246123,42440,5522
01-Mar-18,B1010,234598,53252,4577
01-Apr-18,B1000,486795,38407,6387
01-Apr-18,B1001,338447,38527,5671
01-Apr-18,B1002,327042,53935,4717
01-Apr-18,B1003,364306,49276,5636
01-Apr-18,B1004,426801,37271,5766
01-Apr-18,B1005,424005,44684,4380
01-Apr-18,B1006,505586,40545,5985
01-Apr-18,B1007,365468,52106,3872
01-Apr-18,B1008,505186,42330,6195
01-Apr-18,B1009,478824,45451,4136
01-Apr-18,B1010,271351,53800,5856
01-May-18,B1000,241272,35861,5323
01-May-18,B1001,353209,49063,6062
01-May-18,B1002,427516,26348,5400
01-May-18,B1003,488363,29206,5048
01-May-18,B1004,218038,48891,4011
01-May-18,B1005,374627,39937,3581
01-May-18,B1006,250198,32336,4760
01-May-18,B1007,500394,30591,5355
01-May-18,B1008,499220,43927,5258
01-May-18,B1009,272987,50930,5073
01-May-18,B1010,226717,49713,4774
01-Jun-18,B1000,420627,55665,6358
01-Jun-18,B1001,491078,37307,5159
01-Jun-18,B1002,332617,47224,5071
01-Jun-18,B1003,387708,51817,4664
01-Jun-18,B1004,220166,28002,4294
01-Jun-18,B1005,426479,51301,5146
01-Jun-18,B1006,226591,55774,3909
01-Jun-18,B1007,218795,51116,5664
01-Jun-18,B1008,489487,30838,4076
01-Jun-18,B1009,282075,32325,4868
01-Jun-18,B1010,505757,54232,3894
01-Jul-18,B1000,308872,27574,5099
01-Jul-18,B1001,276989,47635,5559
01-Jul-18,B1002,288098,34208,5773
01-Jul-18,B1003,433696,47436,6089
01-Jul-18,B1004,405977,51630,6005
01-Jul-18,B1005,383653,50413,4130
01-Jul-18,B1006,494754,53082,5678
01-Jul-18,B1007,502045,54714,6471
01-Jul-18,B1008,441239,37720,4650
01-Jul-18,B1009,209930,45551,6668
01-Jul-18,B1010,214789,55133,5227
01-Aug-18,B1000,497647,44195,4107
01-Aug-18,B1001,287796,28967,3996
01-Aug-18,B1002,303920,42135,4099
01-Aug-18,B1003,287172,31595,6144
01-Aug-18,B1004,383208,38249,5700
01-Aug-18,B1005,231719,42088,4777
01-Aug-18,B1006,495985,54285,6561
01-Aug-18,B1007,478891,47605,5065
01-Aug-18,B1008,406070,32296,6729
01-Aug-18,B1009,264964,39041,5507
01-Aug-18,B1010,348732,37989,3937
01-Sep-18,B1000,337972,48414,4600
01-Sep-18,B1001,343041,35897,5964
01-Sep-18,B1002,343770,39232,4765
01-Sep-18,B1003,439946,54626,4333
01-Sep-18,B1004,423928,27309,6677
01-Sep-18,B1005,410320,33666,5651
01-Sep-18,B1006,209588,46242,5682
01-Sep-18,B1007,215356,36477,4617
01-Sep-18,B1008,213394,44717,6658
01-Sep-18,B1009,228928,33863,6367
01-Sep-18,B1010,229638,55009,4967
01-Oct-18,B1000,384357,56530,4690
01-Oct-18,B1001,477890,40897,6293
01-Oct-18,B1002,326333,56329,5945
01-Oct-18,B1003,469359,55647,4064
01-Oct-18,B1004,213170,32700,6298
01-Oct-18,B1005,356934,40147,4336
01-Oct-18,B1006,465714,51671,5390
01-Oct-18,B1007,209183,51132,4090
01-Oct-18,B1008,327888,35833,5198
01-Oct-18,B1009,213906,49976,6272
01-Oct-18,B1010,326049,49572,5974
01-Nov-18,B1000,426014,43069,6663
01-Nov-18,B1001,286891,31598,5394
01-Nov-18,B1002,467482,56726,5874
01-Nov-18,B1003,500850,41440,3972
01-Nov-18,B1004,302079,57541,6048
01-Nov-18,B1005,352871,48045,4761
01-Nov-18,B1006,292224,55455,4541
01-Nov-18,B1007,240399,56392,4089
01-Nov-18,B1008,338413,39153,5988
01-Nov-18,B1009,380358,40375,4797
01-Nov-18,B1010,244084,43037,4880
01-Dec-18,B1000,372784,35967,4073
01-Dec-18,B1001,236592,53307,6628
01-Dec-18,B1002,365522,44632,6355
01-Dec-18,B1003,299857,27827,4371
01-Dec-18,B1004,480456,39682,5174
01-Dec-18,B1005,322124,35956,4691
01-Dec-18,B1006,413612,43343,4083
01-Dec-18,B1007,424677,38026,6314
01-Dec-18,B1008,482136,34518,6291
01-Dec-18,B1009,289432,35348,5242
01-Dec-18,B1010,209723,45156,4743
01-Jan-19,B1000,228140,39154,5604
01-Jan-19,B1001,378981,48636,6010
01-Jan-19,B1002,498748,32239,5256
01-Jan-19,B1003,490354,42751,4295
01-Jan-19,B1004,329374,33900,5351
01-Jan-19,B1005,272377,29414,4942
01-Jan-19,B1006,409804,53583,4021
01-Jan-19,B1007,417083,48320,6536
01-Jan-19,B1008,362727,41778,6065
01-Jan-19,B1009,415273,54328,6144
01-Jan-19,B1010,267786,38437,5452
01-Feb-19,B1000,420530,52264,5224
01-Feb-19,B1001,443639,57211,4186
01-Feb-19,B1002,264645,35953,6097
01-Feb-19,B1003,436778,48239,7034
01-Feb-19,B1004,307980,41143,6235
01-Feb-19,B1005,486375,28748,4185
01-Feb-19,B1006,317307,40489,4798
01-Feb-19,B1007,214603,36057,6378
01-Feb-19,B1008,375742,57809,5176
01-Feb-19,B1009,213559,42614,4742
01-Feb-19,B1010,503772,36338,6784
01-Mar-19,B1000,272016,42188,5582
01-Mar-19,B1001,488834,46358,7091
01-Mar-19,B1002,404324,53213,6187
01-Mar-19,B1003,209533,51166,6741
01-Mar-19,B1004,312573,38498,4772
01-Mar-19,B1005,278254,45906,5600
01-Mar-19,B1006,331843,50186,4251
01-Mar-19,B1007,264797,51313,6031
01-Mar-19,B1008,501185,57470,5517
01-Mar-19,B1009,504470,44325,4483
01-Mar-19,B1010,433402,57596,6998
01-Apr-19,B1000,362212,57204,5715
01-Apr-19,B1001,393234,49235,4956
01-Apr-19,B1002,292418,32118,5158
01-Apr-19,B1003,361020,52789,5304
01-Apr-19,B1004,372903,51970,6313
01-Apr-19,B1005,227656,49633,5498
01-Apr-19,B1006,291177,48179,5010
01-Apr-19,B1007,300470,47161,4910
01-Apr-19,B1008,394071,38383,5396
01-Apr-19,B1009,316105,35132,5412
01-Apr-19,B1010,459811,29185,6356
01-May-19,B1000,228697,43337,6882
01-May-19,B1001,455376,34736,7213
01-May-19,B1002,233485,43301,5087
01-May-19,B1003,277489,53787,6774
01-May-19,B1004,347852,30824,6972
01-May-19,B1005,422740,55755,6909
01-May-19,B1006,405895,47146,5630
01-May-19,B1007,317689,42539,5380
01-May-19,B1008,293969,38654,4795
01-May-19,B1009,226483,51402,5230
01-May-19,B1010,380881,51980,4578
01-Jun-19,B1000,236306,38618,6919
01-Jun-19,B1001,502128,39206,5801
01-Jun-19,B1002,319935,48613,6957
01-Jun-19,B1003,366329,31432,6730
01-Jun-19,B1004,483655,32921,4329
01-Jun-19,B1005,349983,29654,6986
01-Jun-19,B1006,425895,57500,5740
01-Jun-19,B1007,432557,42334,5773
01-Jun-19,B1008,294627,32600,7249
01-Jun-19,B1009,209336,46415,5229
01-Jun-19,B1010,309122,54813,6404
01-Jul-19,B1000,316838,34073,6666
01-Jul-19,B1001,479577,31398,5183
01-Jul-19,B1002,358565,50731,6094
01-Jul-19,B1003,252508,51921,6038
01-Jul-19,B1004,348251,31368,6857
01-Jul-19,B1005,259430,35974,6984
01-Jul-19,B1006,466380,50555,5605
01-Jul-19,B1007,362366,40083,6673
01-Jul-19,B1008,252845,29909,5665
01-Jul-19,B1009,427064,46903,6926
01-Jul-19,B1010,408423,32128,7200
01-Aug-19,B1000,215824,32747,5467
01-Aug-19,B1001,363813,52722,6412
01-Aug-19,B1002,300556,51146,6481
01-Aug-19,B1003,352674,29656,5122
01-Aug-19,B1004,264184,48705,4775
01-Aug-19,B1005,244567,53815,4988
01-Aug-19,B1006,435469,44565,4557
01-Aug-19,B1007,258005,52090,5759
01-Aug-19,B1008,384645,57213,5446
01-Aug-19,B1009,240083,55128,5426
01-Aug-19,B1010,484282,35221,7238
01-Sep-19,B1000,373705,58150,7019
01-Sep-19,B1001,445372,33686,7351
01-Sep-19,B1002,284382,50385,5453
01-Sep-19,B1003,245843,59519,6593
01-Sep-19,B1004,369415,53877,6204
01-Sep-19,B1005,473477,48070,6326
01-Sep-19,B1006,253252,59522,5966
01-Sep-19,B1007,277407,35276,5470
01-Sep-19,B1008,471329,41094,7101
01-Sep-19,B1009,286761,48372,5619
01-Sep-19,B1010,412985,53976,7265
01-Oct-19,B1000,490276,51677,6719
01-Oct-19,B1001,324504,36415,6657
01-Oct-19,B1002,306409,46616,6194
01-Oct-19,B1003,293326,35855,6473
01-Oct-19,B1004,249961,56681,4847
01-Oct-19,B1005,320673,49616,5290
01-Oct-19,B1006,306390,32782,6146
01-Oct-19,B1007,280457,40681,5573
01-Oct-19,B1008,458539,35108,5453
01-Oct-19,B1009,329857,56335,5550
01-Oct-19,B1010,340319,37434,7315
01-Nov-19,B1000,389855,37260,6576
01-Nov-19,B1001,339059,44054,4670
01-Nov-19,B1002,258965,59091,6963
01-Nov-19,B1003,236308,50550,5590
01-Nov-19,B1004,456825,58332,5267
01-Nov-19,B1005,304562,51652,5351
01-Nov-19,B1006,250707,32352,4819
01-Nov-19,B1007,230530,33793,5162
01-Nov-19,B1008,292592,58132,7105
01-Nov-19,B1009,498580,46656,6377
01-Nov-19,B1010,399116,35443,7024
01-Dec-19,B1000,223002,42292,5429
01-Dec-19,B1001,318295,57947,4989
01-Dec-19,B1002,314027,51023,5031
01-Dec-19,B1003,501494,45974,5803
01-Dec-19,B1004,360049,48434,7250
01-Dec-19,B1005,337879,38611,4889
01-Dec-19,B1006,296157,33938,4931
01-Dec-19,B1007,319388,37106,4748
01-Dec-19,B1008,251866,47079,5909
01-Dec-19,B1009,280510,48134,5492
01-Dec-19,B1010,443282,42027,5610
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
